MAGH,Flux_MAGH,Temp_from_MAGH,Temp_Planck_MAGH_1.8e14,Temp_Planck_MAGH_3e14,Temp_Planck_MAGH_1e13
23.1,2.089296130854041e-55,3.3406075496327506e+18,78.79355227690941,129.51228803796164,4.753361938947537
22.62,3.2508729738543473e-55,2.6780917909278433e+18,79.11256485778813,130.0293890812203,4.774267015373765
21.97,5.915616341754767e-55,1.985296871758722e+18,79.54870126653505,130.73624772542954,4.802870826449214
23.77,1.1271974561755094e-55,4.548052384653119e+18,78.3525417050037,128.79734020899892,4.724486193508765
25.18,3.076096814740705e-56,8.706136224628513e+18,77.44038359118952,127.31823759705141,4.664849403667297
24.52,5.649369748123011e-56,6.424294748233585e+18,77.86469277678039,128.00633145876643,4.692575951972
24.59,5.296634438916581e-56,6.634763675211269e+18,77.81946999107745,127.93299942124139,4.689619642437277
24.58,5.345643593969693e-56,6.604279705152439e+18,77.82592717267057,127.94347028205954,4.690041744293144
24.72,4.698941086052199e-56,7.044099117035255e+18,77.73562403170111,127.79703402657881,4.684139224228367
23.84,1.0568175092136608e-55,4.697052974250825e+18,78.30675063829308,128.72309933071622,4.7214895533826695
23.72,1.180320635651737e-55,4.4445260731398456e+18,78.38528241169143,128.85042185998756,4.726628980668334
24.66,4.965923214503337e-56,6.852127860105864e+18,77.77429970447767,127.85975135626252,4.686667055490571
24.56,5.44502652842422e-56,6.543731304872008e+18,77.83884475115353,127.96441714655386,4.690886176000415
24.95,3.801893963205628e-56,7.831148478524358e+18,77.58772294677091,127.55718651291687,4.6744744135504686
24.95,3.801893963205628e-56,7.831148478524358e+18,77.58772294677091,127.55718651291687,4.6744744135504686
23.14,2.013724249862365e-55,3.4027140809245066e+18,78.76708398792096,129.4693818708068,4.751628109990676
24.08,8.472274141405912e-56,5.245965839819141e+18,78.15015821870992,128.46920765979098,4.71124415571666
22.73,2.937649651961531e-55,2.8172504586550456e+18,79.03922986088284,129.91052237875488,4.76946004397765
23.98,9.289663867799363e-56,5.00985848354898e+18,78.21532888566426,128.5748740403747,4.715507662908739
24.12,8.165823713585907e-56,5.343495626465849e+18,78.12412035068067,128.42698972172357,4.70954091076576
24.31,6.854882264526649e-56,5.832106664362326e+18,78.00067704536163,128.22683285311442,4.7014672866386125
25.05,3.46736850452531e-56,8.200219135888246e+18,77.52359352408526,127.45318556329119,4.67028475065263
25.2,3.0199517204020194e-56,8.786693111283085e+18,77.42759791487741,127.29750173127495,4.664014319149803
25.34,2.6546055619755362e-56,9.371852790935175e+18,77.33821625796375,127.15253957734467,4.65817708870368
23.88,1.0185913880541148e-55,4.784377708805876e+18,78.28060833705882,128.6807143859936,4.719778893732987
24.83,4.246195639463096e-56,7.410123706552982e+18,77.6648184436647,127.68221191323707,4.6795119421666005
26.13,1.2823305826560128e-56,1.3484208471220646e+19,76.83769102494215,126.34068724362692,4.62551035762452
24.12,8.165823713585907e-56,5.343495626465849e+18,78.12412035068067,128.42698972172357,4.70954091076576
25.48,2.3334580622810143e-56,9.995981835552393e+18,77.24904072571174,127.00790720401392,4.652354451123698
25.19,3.0478949896279706e-56,8.746321923576548e+18,77.43399022525,127.30786881980036,4.66443182403175
24.83,4.246195639463096e-56,7.410123706552982e+18,77.6648184436647,127.68221191323707,4.6795119421666005
23.98,9.289663867799363e-56,5.00985848354898e+18,78.21532888566426,128.5748740403747,4.715507662908739
25.17,3.1045595881283368e-56,8.666135162195612e+18,77.44677801295742,127.32860806344075,4.665267058076524
24.23,7.379042301291045e-56,5.621153671983191e+18,78.05260559501157,128.31103333627567,4.70486333097308
24.24,7.3113908348341275e-56,5.647099738455728e+18,78.0461107453988,128.30050222898208,4.704438557148898
25.19,3.0478949896279706e-56,8.746321923576548e+18,77.43399022525,127.30786881980036,4.66443182403175
22.85,2.6302679918953708e-55,2.977319612546869e+18,78.95938294979756,129.78109722331365,4.764227102840767
23.28,1.770108958317426e-55,3.629321640369635e+18,78.67458484862904,129.31943390324207,4.745569656694595
24.34,6.6680676921362465e-56,5.91323934982773e+18,77.98122164869704,128.195286155358,4.700195033632097
24.48,5.861381645140297e-56,6.307038154432396e+18,77.89055797487087,128.0482732377582,4.69426694578246
23.79,1.1066237839776676e-55,4.5901349952391025e+18,78.33945307930034,128.77611979249485,4.723629622540903
24.79,4.405548635065516e-56,7.274873706431997e+18,77.69055100119617,127.72394152841757,4.6811935320302585
24.73,4.655860935229582e-56,7.076613201259759e+18,77.72918182561482,127.78658711967685,4.683718184105077
24.72,4.698941086052199e-56,7.044099117035255e+18,77.73562403170111,127.79703402657881,4.684139224228367
25.02,3.5645113342624395e-56,8.087707911407064e+18,77.54282121695674,127.48436803689552,4.671540860731865
25.26,2.857590543374944e-56,9.032863725034634e+18,77.38926620491516,127.23533464026936,4.661510858560236
25.69,1.9230917289101536e-56,1.1010966929322953e+19,77.11566235403227,126.79157452513617,4.643647736896382
24.77,4.487453899331295e-56,7.208177263393279e+18,77.70342367546613,127.74481656636034,4.682034780254975
24.96,3.7670379898390933e-56,7.867295417540211e+18,77.5813052304481,127.54677878081016,4.6740551090258355
22.75,2.8840315031266116e-55,2.8433181561984655e+18,79.02591082975627,129.88893359607846,4.7685870889664805
25.37,2.5822601906345906e-56,9.502228250177255e+18,77.31908988732489,127.12151920215413,4.656928154036214
26.03,1.4060475241299245e-56,1.2877319118383065e+19,76.90069021583493,126.44287980677957,4.629620036992058
24.54,5.546257129579105e-56,6.483738015662026e+18,77.85176661847804,127.98537087099933,4.691730911838589
