,Om0,w0,wa,H0
Om0,3487.8285975494473,-2504.5530633598305,-171.71841542200588,-223.75752454431662
w0,-2504.5530633598305,9982.489067866964,871.5869145756579,784.3525612443817
wa,-171.7184154220059,871.5869145756578,116.37934031552504,51.915295872966
H0,-223.75752454431662,784.3525612443816,51.915295872966,74.4312211639787
